,BAC,C,WFC,JPM,GS,USB,PNC,TFC,FITB,STT,SCHW,MS,BLK,V
2023-08-04,31.299999237060547,45.709999084472656,44.849998474121094,156.02000427246094,353.2200012207031,39.86000061035156,131.4600067138672,32.06999969482422,28.469999313354492,73.13999938964844,64.91999816894531,88.79000091552734,710.280029296875,238.99000549316406
2023-08-07,31.8799991607666,45.83000183105469,45.060001373291016,156.75999450683594,355.55999755859375,40.119998931884766,132.39999389648438,32.599998474121094,28.579999923706055,73.9000015258789,65.97000122070312,89.08000183105469,712.5499877929688,241.50999450683594
2023-08-08,31.270000457763672,45.15999984741211,44.47999954223633,155.8800048828125,348.260009765625,40.22999954223633,130.0500030517578,32.40999984741211,28.049999237060547,72.7300033569336,65.5199966430664,88.47000122070312,696.97998046875,239.2899932861328
2023-08-09,30.860000610351562,44.439998626708984,43.720001220703125,153.7899932861328,342.69000244140625,39.650001525878906,127.3499984741211,31.469999313354492,27.5,72.2300033569336,65.29000091552734,87.55999755859375,692.0900268554688,239.75999450683594
2023-08-10,30.940000534057617,44.34000015258789,43.66999816894531,153.55999755859375,340.3999938964844,39.4900016784668,128.08999633789062,31.469999313354492,27.709999084472656,73.12999725341797,64.54000091552734,87.63999938964844,697.010009765625,240.16000366210938
2023-08-11,31.290000915527344,44.56999969482422,43.72999954223633,154.4499969482422,340.7300109863281,39.459999084472656,129.94000244140625,31.729999542236328,27.790000915527344,73.68000030517578,64.08000183105469,87.69999694824219,695.6099853515625,240.0399932861328
2023-08-14,30.93000030517578,44.099998474121094,43.7400016784668,154.77000427246094,337.739990234375,38.720001220703125,127.27999877929688,30.56999969482422,26.790000915527344,71.33999633789062,61.779998779296875,87.33000183105469,692.9299926757812,242.89999389648438
2023-08-15,29.940000534057617,43.209999084472656,42.72999954223633,150.8300018310547,332.2099914550781,37.63999938964844,123.5999984741211,29.600000381469727,25.860000610351562,69.55999755859375,60.970001220703125,86.16000366210938,672.8200073242188,239.8300018310547
2023-08-16,29.290000915527344,42.63999938964844,42.220001220703125,150.19000244140625,329.1099853515625,37.04999923706055,122.7300033569336,29.100000381469727,25.739999771118164,68.83000183105469,60.45000076293945,85.98999786376953,672.239990234375,239.2899932861328
2023-08-17,29.280000686645508,42.459999084472656,42.470001220703125,148.6300048828125,327.5199890136719,36.810001373291016,123.5,28.969999313354492,25.770000457763672,68.30000305175781,59.77000045776367,85.79000091552734,674.0,237.3699951171875
2023-08-18,29.110000610351562,42.25,42.5,148.97000122070312,324.92999267578125,36.84000015258789,123.19999694824219,28.780000686645508,25.59000015258789,67.94999694824219,59.52000045776367,84.88999938964844,670.25,238.1699981689453
2023-08-21,29.149999618530273,42.06999969482422,42.4900016784668,149.47999572753906,322.05999755859375,36.7599983215332,122.93000030517578,28.610000610351562,25.68000030517578,67.41999816894531,59.400001525878906,84.25,671.5900268554688,239.4600067138672
2023-08-22,28.440000534057617,41.02000045776367,41.5,146.3800048828125,318.7900085449219,35.84000015258789,119.0199966430664,28.049999237060547,24.8799991607666,65.8499984741211,56.459999084472656,82.9800033569336,665.8400268554688,240.57000732421875
2023-08-23,28.450000762939453,41.08000183105469,41.61000061035156,147.3699951171875,322.3299865722656,36.25,119.41000366210938,28.479999542236328,25.43000030517578,67.55000305175781,58.02000045776367,83.38999938964844,678.77001953125,242.3000030517578
2023-08-24,28.6200008392334,41.08000183105469,41.43000030517578,147.22999572753906,319.9599914550781,36.130001068115234,117.66999816894531,28.860000610351562,25.719999313354492,67.75,57.84000015258789,83.44000244140625,673.1599731445312,239.47000122070312
2023-08-25,28.5,41.2400016784668,41.22999954223633,147.0500030517578,320.1499938964844,35.5099983215332,117.73999786376953,28.809999465942383,25.420000076293945,67.55000305175781,58.150001525878906,83.22000122070312,675.9600219726562,242.57000732421875
2023-08-28,28.760000228881836,41.31999969482422,41.880001068115234,147.55999755859375,325.9700012207031,36.02000045776367,118.41000366210938,29.3700008392334,25.799999237060547,68.4000015258789,59.04999923706055,84.37999725341797,679.0,243.8300018310547
2023-08-29,29.170000076293945,41.720001220703125,42.0,148.75999450683594,332.54998779296875,36.47999954223633,120.58999633789062,30.329999923706055,26.450000762939453,68.5199966430664,59.45000076293945,85.55000305175781,691.030029296875,245.33999633789062
2023-08-30,29.040000915527344,41.369998931884766,41.540000915527344,148.16000366210938,328.5799865722656,36.380001068115234,120.4800033569336,30.25,26.389999389648438,68.44999694824219,59.779998779296875,85.26000213623047,695.8099975585938,246.22999572753906
2023-08-31,28.670000076293945,41.290000915527344,41.290000915527344,146.3300018310547,327.7099914550781,36.529998779296875,120.7300033569336,30.549999237060547,26.549999237060547,68.73999786376953,59.150001525878906,85.1500015258789,700.5399780273438,245.67999267578125
2023-09-01,28.979999542236328,41.59000015258789,41.650001525878906,146.82000732421875,327.3999938964844,37.06999969482422,122.22000122070312,30.899999618530273,27.049999237060547,69.8499984741211,60.5,85.75,706.1900024414062,248.11000061035156
2023-09-04,28.649999618530273,41.36000061035156,41.540000915527344,145.1999969482422,323.75,36.52000045776367,120.48999786376953,30.440000534057617,27.06999969482422,70.08000183105469,59.68000030517578,84.83999633789062,695.9299926757812,245.33999633789062
2023-09-05,28.649999618530273,41.36000061035156,41.540000915527344,145.1999969482422,323.75,36.52000045776367,120.48999786376953,30.440000534057617,27.06999969482422,70.08000183105469,59.68000030517578,84.83999633789062,695.9299926757812,245.33999633789062
2023-09-06,28.389999389648438,41.369998931884766,41.02000045776367,144.9600067138672,321.1300048828125,36.119998931884766,118.36000061035156,29.719999313354492,26.600000381469727,69.86000061035156,58.27000045776367,84.16000366210938,694.1799926757812,246.16000366210938
2023-09-07,28.1299991607666,40.72999954223633,40.43000030517578,143.72000122070312,321.9599914550781,35.630001068115234,115.7699966430664,29.270000457763672,26.09000015258789,69.51000213623047,57.81999969482422,83.83999633789062,691.0599975585938,247.13999938964844
2023-09-08,28.360000610351562,40.59000015258789,41.0,143.8300018310547,325.5199890136719,36.11000061035156,116.93000030517578,29.780000686645508,26.40999984741211,70.16000366210938,59.33000183105469,84.91999816894531,690.6199951171875,247.2899932861328
2023-09-11,28.479999542236328,40.59000015258789,41.33000183105469,144.4600067138672,324.6499938964844,36.20000076293945,118.0199966430664,30.110000610351562,26.5,71.38999938964844,59.81999969482422,83.51000213623047,695.9299926757812,247.22000122070312
2023-09-12,28.969999313354492,41.68000030517578,42.540000915527344,146.33999633789062,330.8999938964844,37.0,124.8499984741211,30.010000228881836,27.469999313354492,71.48999786376953,60.52000045776367,85.55000305175781,697.3400268554688,247.3000030517578
2023-09-13,28.8799991607666,42.369998931884766,42.25,146.41000366210938,334.9800109863281,35.150001525878906,123.61000061035156,28.6200008392334,27.25,71.25,58.72999954223633,87.25,697.22998046875,247.8300018310547
2023-09-14,29.200000762939453,43.13999938964844,43.04999923706055,149.25,344.57000732421875,35.720001220703125,126.97000122070312,29.420000076293945,27.520000457763672,72.38999938964844,59.7599983215332,89.06999969482422,706.8099975585938,241.5
2023-09-15,28.84000015258789,42.709999084472656,42.95000076293945,148.80999755859375,342.5400085449219,35.150001525878906,126.3499984741211,29.0,27.440000534057617,71.8499984741211,58.220001220703125,88.41000366210938,697.4099731445312,241.07000732421875
2023-09-18,28.760000228881836,42.63999938964844,43.43000030517578,149.1199951171875,343.32000732421875,34.75,124.68000030517578,28.670000076293945,27.1299991607666,71.26000213623047,57.86000061035156,88.70999908447266,694.8900146484375,244.66000366210938
2023-09-19,28.649999618530273,42.68000030517578,43.220001220703125,148.92999267578125,341.8900146484375,34.59000015258789,124.19000244140625,28.600000381469727,26.90999984741211,70.55000305175781,57.72999954223633,88.51000213623047,688.9600219726562,243.55999755859375
2023-09-20,28.549999237060547,42.29999923706055,42.869998931884766,148.3000030517578,336.70001220703125,34.40999984741211,123.94999694824219,28.3700008392334,26.809999465942383,69.69000244140625,56.66999816894531,87.13999938964844,683.47998046875,241.86000061035156
2023-09-21,28.049999237060547,41.709999084472656,42.31999969482422,147.13999938964844,330.239990234375,33.45000076293945,122.16999816894531,28.15999984741211,26.3799991607666,68.81999969482422,56.0099983215332,84.87999725341797,668.8300170898438,236.61000061035156
2023-09-22,27.639999389648438,40.91999816894531,41.22999954223633,145.72999572753906,327.8900146484375,33.380001068115234,120.8499984741211,28.06999969482422,25.700000762939453,67.80999755859375,55.150001525878906,83.29000091552734,660.0999755859375,235.0800018310547
2023-09-25,27.600000381469727,41.02000045776367,41.560001373291016,146.4499969482422,328.8399963378906,33.59000015258789,122.62000274658203,28.84000015258789,25.90999984741211,67.61000061035156,55.349998474121094,83.02999877929688,657.5499877929688,233.36000061035156
2023-09-26,27.170000076293945,40.220001220703125,40.650001525878906,144.92999267578125,323.82000732421875,33.02000045776367,121.58999633789062,28.25,25.280000686645508,66.83000183105469,54.20000076293945,82.16999816894531,646.719970703125,229.64999389648438
2023-09-27,27.270000457763672,40.459999084472656,40.86000061035156,145.77999877929688,321.95001220703125,32.52000045776367,121.80999755859375,27.969999313354492,24.860000610351562,66.77999877929688,54.380001068115234,81.6500015258789,643.3900146484375,229.5
2023-09-28,27.559999465942383,41.20000076293945,40.90999984741211,147.58999633789062,325.20001220703125,32.470001220703125,122.83000183105469,28.229999542236328,25.030000686645508,67.55999755859375,54.54999923706055,82.19000244140625,645.239990234375,231.66000366210938
2023-09-29,27.3799991607666,41.130001068115234,40.86000061035156,145.02000427246094,323.57000732421875,33.060001373291016,122.7699966430664,28.610000610351562,25.329999923706055,66.95999908447266,54.900001525878906,81.66999816894531,646.489990234375,230.00999450683594
2023-10-02,26.700000762939453,40.5,39.61000061035156,143.77000427246094,318.5,32.13999938964844,120.0199966430664,27.6299991607666,24.5,66.19000244140625,53.54999923706055,80.41000366210938,643.0399780273438,231.27000427246094
