후원방문판매업체,176.71%,113.31%,0.0
휴게음식점,347.36%,16.24%,0.06
------------------------------------------
가축분뇨 수집운반업,0.15%,12.89%,0.35
가축분뇨배출시설관리업(사업장),0.32%,46.89%,0.31
가축사육업,400.6%,109.78%,0.0
가축인공수정소,0.24%,11.66%,0.41
개인하수처리시설관리업(사업장),-0.89%,-40.08%,0.27
건강기능식품유통전문판매업,16.72%,39.23%,0.01
건강기능식품일반판매업,788.29%,69.59%,0.0
건물위생관리업,39.81%,37.25%,0.04
건설폐기물처리업,0.65%,29.88%,0.11
게임물배급업,0.93%,18.86%,0.21
게임물제작업,2.61%,31.76%,0.08
계량기수리업,-0.42%,-71.79%,0.13
계량기수입업,0.12%,22.15%,0.38
계량기제조업,-0.63%,-100.0%,0.04
계량기증명업,0.14%,4.94%,0.44
고압가스업,5.02%,10.84%,0.19
골프연습장업,-23.4%,-30.43%,0.14
골프장,-0.05%,-100.0%,0.32
공연장,34.71%,878.12%,0.0
관광공연장업,0.12%,267.02%,0.11
관광극장유흥업,-0.03%,-8.26%,0.47
관광사업자,0.24%,40.97%,0.27
관광숙박업,1.76%,44.9%,0.03
관광식당,-0.02%,-8.39%,0.46
관광유람선업,0.2%,144.13%,0.1
'shape' elements cannot be negative
관광펜션업,0.29%,18.95%,0.29
국내여행업,232.38%,591.55%,0.0
국내외여행업,-7.27%,-17.76%,0.16
국제물류주선업,-0.26%,-43.46%,0.27
국제회의기획업,-0.39%,-32.04%,0.25
급수공사대행업,-0.09%,-100.0%,0.26
노래연습장업,-56.65%,-37.31%,0.02
다단계판매업체,0.66%,65.78%,0.14
단독정화조/오수처리시설설계시공업,0.67%,33.74%,0.25
단란주점영업,-1.6%,-3.17%,0.46
담배도매업,0.3%,19.21%,0.39
담배소매업,-58.96%,-5.56%,0.25
당구장업,-50.01%,-32.65%,0.12
대규모점포,1.85%,42.91%,0.04
대기오염물질배출시설설치사업장,83.79%,46.8%,0.0
대중문화예술기획업,4.05%,58.18%,0.0
도축업,0.29%,634.04%,0.0
동물미용업,20.16%,62.68%,0.0
동물병원,1.59%,13.92%,0.19
동물생산업,19.33%,241.71%,0.0
동물수입업,2.09%,230.99%,0.0
동물약국,6.85%,28.17%,0.02
동물용의료용구판매업,2.14%,74.53%,0.0
동물용의약품도매상,1.33%,66.37%,0.03
동물운송업,7.08%,95.51%,0.0
동물위탁관리업,22.11%,83.26%,0.0
동물전시업,4.17%,69.67%,0.0
동물판매업,10.08%,26.35%,0.11
목욕장업,-0.7%,-2.49%,0.45
무도장업,-0.88%,-84.06%,0.06
무도학원업,-1.55%,-23.02%,0.21
무료직업소개소,-3.65%,-49.87%,0.07
물류창고업체,-0.22%,-2.61%,0.42
미용업,89.6%,10.15%,0.18
